@relation ant-1.7_mod_paper

@attribute loc numeric
@attribute cbo numeric
@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dit numeric
@attribute noc numeric
@attribute bug {no,yes}

@data
130,9,4,22,6,1.285714,2,0,yes
455,9,20,56,150,0.95614,4,0,yes
1031,30,40,121,622,0.886946,5,0,yes
1270,29,31,104,347,0.861111,4,4,yes
644,81,31,71,311,0.75,1,0,yes
206,9,20,46,160,0.859649,3,0,yes
877,18,25,117,230,0.958333,2,0,yes
811,12,26,85,217,0.777143,3,0,yes
515,18,20,70,136,0.824561,3,0,yes
1212,24,42,109,653,0.899826,1,0,yes
167,8,2,21,1,1.625,2,0,yes
1167,26,25,103,134,0.771739,1,10,yes
182,9,6,32,9,0.2,4,0,yes
292,6,6,33,3,0.75,3,0,yes
2303,61,63,144,1603,0.874288,1,2,yes
586,15,34,67,295,0.842975,5,2,yes
725,10,15,77,41,0.785714,3,0,yes
185,5,8,22,6,0.678571,1,2,yes
900,29,31,119,277,0.744444,3,0,yes
1021,29,77,123,2700,0.977952,4,1,yes
689,4,23,56,107,0.636364,1,0,yes
356,14,18,42,113,0.890756,1,4,yes
304,25,14,59,67,0.8,4,0,yes
788,10,30,100,271,0.891247,4,0,yes
1139,18,28,132,130,0.846561,3,0,yes
390,12,15,53,71,0.97619,1,4,yes
260,6,10,38,9,0.796296,3,0,yes
493,9,11,54,15,0.7375,3,0,yes
1035,38,59,121,1145,0.728448,3,3,yes
1038,10,30,104,429,1.013793,1,0,yes
345,11,9,54,10,0.803571,4,0,yes
741,14,24,85,180,0.782609,4,0,yes
379,7,5,69,8,1,2,0,yes
1752,142,58,158,1627,0.949875,1,0,yes
879,25,29,109,268,0.85119,3,0,yes
968,8,11,75,53,0.825,1,0,yes
2098,32,35,120,417,0.927894,1,0,yes
631,18,16,80,86,0.878788,3,1,yes
105,5,7,19,21,2,1,0,yes
941,16,32,97,362,0.941935,3,2,yes
2117,17,23,126,161,0.770833,1,0,yes
1224,25,22,172,151,0.921769,4,0,yes
549,12,18,80,61,0.647059,3,0,yes
487,11,7,74,15,0.722222,2,0,yes
2704,34,92,261,3726,0.960246,3,0,yes
1828,25,45,157,744,0.902098,3,2,yes
1100,39,46,135,17,0.883761,4,0,yes
2328,36,63,267,1715,0.922939,3,0,yes
856,13,23,96,181,0.715909,4,0,yes
1842,51,56,169,1200,0.848864,2,2,yes
4541,6,41,60,402,0.889167,2,0,yes
1561,25,39,150,625,0.878719,1,0,yes
1413,24,31,152,349,0.857407,5,2,yes
598,13,17,73,82,0.820313,1,0,yes
2937,31,49,210,844,0.877404,4,1,yes
881,12,26,109,233,0.892,4,0,yes
2384,365,120,288,6692,0.975471,1,0,yes
